start_type,seed,initial_value_fraction,final_value_fraction,final_value_decimal,sweeps,termination,policy_type
direct,,325089/390625,325089/390625,0.832227840000,1,coordinate-fixed-point,direct
territorial,,1/2,325089/390625,0.832227840000,4,coordinate-fixed-point,direct
random,11,28205770593001/71191406250000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,29,567236511619/1423828125000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,47,21672478911353/53393554687500,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,71,42645241948133/106787109375000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,101,17628430508201/42714843750000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,131,4715717157403/11865234375000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,173,6144806854849/14238281250000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,211,953017673011/2373046875000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,257,29112028411571/71191406250000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,307,9251877872731/23730468750000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,359,16538049350527/42714843750000,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,419,26968323073988/66741943359375,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,487,4479079996573/10678710937500,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,557,2342064486281/5339355468750,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,631,183415366385093/444946289062500,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
random,709,5111152846372/13348388671875,325089/390625,0.832227840000,2,coordinate-fixed-point,direct
