partition_id,partition,message_count,selected_discovery,worst_pure_discovery,best_pure_discovery,planner_discovery,selected_action_hhi,pure_equilibrium_count
P00,"0,1,2,3",1,5/9,2/3,2/3,2/3,1/3,6
P01,"0,1,2|3",2,299/535,3/4,3/4,3/4,154277/286225,4
P02,"0,1,3|2",2,5/9,2/3,2/3,2/3,1/3,36
P03,"0,1|2,3",2,171/308,3/4,3/4,3/4,6613/11858,4
P04,"0,1|2|3",3,2219/3960,3/4,3/4,3/4,19871/36300,24
P05,"0,2,3|1",2,389/672,19/24,19/24,19/24,361/588,4
P06,"0,2|1,3",2,405/704,19/24,19/24,19/24,9895/15488,4
P07,"0,2|1|3",3,1341/2240,5/6,5/6,5/6,108631/156800,8
P08,"0,3|1,2",2,26/45,19/24,19/24,19/24,841/1350,4
P09,"0|1,2,3",2,89/156,17/24,19/24,19/24,337/507,6
P10,"0|1,2|3",3,107/180,3/4,5/6,5/6,967/1350,12
P11,"0,3|1|2",3,1471/2520,19/24,19/24,19/24,8927/14700,24
P12,"0|1,3|2",3,457/792,17/24,19/24,19/24,313/484,36
P13,"0|1|2,3",3,25/42,3/4,5/6,5/6,209/294,12
P14,0|1|2|3,4,1513/2520,3/4,5/6,5/6,3433/4900,72
