case,candidates,searchers,accuracy,exact_optimum,alignment_upper_bound,relaxation_gap,relaxation_exact,upper_valid,certificate_valid
M2_N2_p1-4,2,2,1/4,1,1,0,True,True,True
M2_N2_p1-2,2,2,1/2,1,1,0,True,True,True
M2_N2_p3-4,2,2,3/4,1,1,0,True,True,True
M2_N4_p1-2,2,4,1/2,1,1,0,True,True,True
M2_N4_p3-4,2,4,3/4,1,1,0,True,True,True
M2_N4_p9-10,2,4,9/10,1,1,0,True,True,True
M3_N2_p1-3,3,2,1/3,2/3,2/3,0,True,True,True
M3_N2_p2-5,3,2,2/5,7/10,7/10,0,True,True,True
M3_N2_p7-15,3,2,7/15,11/15,11/15,0,True,True,True
M3_N2_p1-2,3,2,1/2,3/4,3/4,0,True,True,True
M3_N2_p2-3,3,2,2/3,8/9,8/9,0,True,True,True
M3_N2_p4-5,3,2,4/5,24/25,24/25,0,True,True,True
M3_N3_p1-3,3,3,1/3,1,1,0,True,True,True
M3_N3_p1-2,3,3,1/2,1,1,0,True,True,True
M3_N3_p2-3,3,3,2/3,1,1,0,True,True,True
M3_N3_p4-5,3,3,4/5,1,1,0,True,True,True
M4_N2_p1-4,4,2,1/4,1/2,1/2,0,True,True,True
M4_N2_p3-10,4,2,3/10,8/15,8/15,0,True,True,True
M4_N2_p13-40,4,2,13/40,11/20,11/20,0,True,True,True
M4_N2_p1-2,4,2,1/2,3/4,3/4,0,True,True,True
M4_N2_p3-4,4,2,3/4,15/16,15/16,0,True,True,True
